LangID,ItemID,ItemTitle,CompleteURL
1,2,Q: Is it okay for a husband or wife to have an e-mail relationship with a person of the opposite sex?,https://elibrary.tjc.org/content/cm/en/article/1215-pub.html
1,3,"Q: In a relationship with someone of the opposite sex outside of our marriage, how close is too close?",https://elibrary.tjc.org/content/cm/en/article/1216-pub.html
1,4,What do Jesus and God have in common?,https://elibrary.tjc.org/content/cm/en/article/1219-pub.html
1,5,"The Lord Jesus is the author of salvation, not the church, so if I don't go to church, as long as I believe in the Lord Jesus and follow the correct path to salvation, won't I be saved?",https://elibrary.tjc.org/content/cm/en/article/1220-pub.html
1,6,What about the Big Bang Theory?,https://elibrary.tjc.org/content/cm/en/article/1221-pub.html
1,7,What is God's intention and promise for humankind?,https://elibrary.tjc.org/content/cm/en/article/1222-pub.html
1,8,Didn't Paul tell believers in Corinth to make offerings on the first day of the week (1 Cor 16:2)?,https://elibrary.tjc.org/content/cm/en/article/1223-pub.html
1,9,How do I know the resurrection of Jesus really happened?,https://elibrary.tjc.org/content/cm/en/article/1224-pub.html
1,10,Who witnessed the Holy Spirit descend upon Jesus?,https://elibrary.tjc.org/content/cm/en/article/1225-pub.html
1,11,"Are we saved by these two dimensions of grace (as mentioned in ""What are the two dimensions of salvation?"")?",https://elibrary.tjc.org/content/cm/en/article/1226-pub.html
1,12,When did the Holy Spirit start working in the world?,https://elibrary.tjc.org/content/cm/en/article/1227-pub.html
1,13,Is there a specific language we should use in prayer?,https://elibrary.tjc.org/content/cm/en/article/1228-pub.html
1,14,What about the theory of evolution?,https://elibrary.tjc.org/content/cm/en/article/1229-pub.html
1,15,What should believers pray for?,https://elibrary.tjc.org/content/cm/en/article/1230-pub.html
1,16,"Don't Christians worship on Sunday to honor the first day of the week, the day Christ resurrected?",https://elibrary.tjc.org/content/cm/en/article/1231-pub.html
1,18,"Don't good works show that a person is already saved? If sacraments are required for salvation, then how do you explain the good works of Christians who have never received the sacraments?",https://elibrary.tjc.org/content/cm/en/article/1233-pub.html
1,19,Is there a proper form or attitude we should have in prayer?,https://elibrary.tjc.org/content/cm/en/article/1234-pub.html
